NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
454111,IA,0,0,0,0,28304,23664,24491,26740,32267,32493,*
51,IA,177884,177539,169201,167238,164556,156560,149963,138701,130398,89609,85946
511210,IA,68802,68878,67743,69878,61955,56307,53370,49950,51259,46642,40498
518,IA,52553,48361,44591,42888,41897,42602,39512,37137,34274,33321,31906
519130,IA,55114,50486,62671,64005,*,*,*,*,*,*,*
52,IA,135645,128249,128636,124578,120215,118825,111698,106385,100574,96136,91842
522320,IA,49019,48461,52163,52377,44132,45011,48481,35834,32246,28549,28470
54151,IA,66312,65157,66017,64044,61688,60130,58791,58025,114860,105747,53599
611420,IA,0,0,0,0,0,51330,50944,49038,0,0,*
811212,IA,50365,50926,48505,45218,43950,42722,46614,41560,36235,34748,50244
811213,IA,59975,53778,56171,54577,51441,52247,52491,47462,49916,50315,50682
10,KS,251334,248487,244483,238993,228620,219350,216104,204790,201109,193601,187695
11,KS,34183,33117,32647,31347,29678,28431,27411,26235,25446,25655,24619
323115,KS,37667,35155,39256,39087,38102,34343,0,0,0,0,44233
33411,KS,86691,78626,85837,83608,76340,77076,70752,68611,61129,60466,64279
334611,KS,0,0,0,0,0,0,0,0,0,70183,*
423430,KS,69352,69073,65198,65389,61590,70694,54880,54596,56722,56538,57181
425110,KS,61482,60386,60699,55086,52962,51502,48498,44328,47446,48793,50754
443120,KS,44439,45441,53607,77515,68392,58131,54597,51726,49110,50317,44964
454111,KS,35756,32384,32541,31831,0,0,0,0,0,26515,*
51,KS,164845,160185,162982,161529,154696,149887,148883,141272,135545,90824,65712
511210,KS,92055,76367,75805,72818,70242,60567,66930,67770,61316,65153,59949
518,KS,60518,63267,62980,61504,58189,53856,55329,50386,40541,42080,43473
519130,KS,72148,66290,71067,65724,*,*,*,*,*,*,*
52,KS,129252,123995,126138,122478,118105,116008,113715,109004,105433,100261,95180
522320,KS,56520,55914,59500,61648,56272,56858,50792,46032,39941,37884,34704
54151,KS,133488,130488,128117,124359,122724,118464,107967,94727,94187,96028,86053
611420,KS,0,87729,59158,53470,47079,47025,46447,45394,0,0,*
811212,KS,49107,47306,44230,48210,43122,44365,42251,52907,51463,55657,73969
811213,KS,52809,54743,62201,62338,57581,54452,50826,45822,36795,38144,40705
10,KY,250949,248746,246238,237841,229955,221316,216042,205720,198645,191092,182175
11,KY,79887,74852,73965,78084,71382,69261,68623,61503,58905,58572,51936
323115,KY,38826,38849,0,42388,36733,33014,33148,32363,31581,32047,31645
33411,KY,0,0,0,0,0,0,0,0,0,0,*
334611,KY,0,0,0,0,0,*,*,*,0,0,*
423430,KY,73914,76750,77089,67017,58942,55830,51868,52626,50597,50190,46615
425110,KY,53107,48124,52402,41611,40438,38138,35532,103333,94352,99519,99579
443120,KY,0,41885,40097,39742,40351,37139,38986,38279,40222,43346,39229
454111,KY,25469,26592,26299,24325,22471,0,0,24313,0,0,*
51,KY,145064,140699,139611,130666,123153,117797,118434,112854,109565,105279,99851
511210,KY,60573,60097,58370,53428,51749,49091,49229,46476,45947,42238,42102
518,KY,45424,43893,40240,39564,39086,36975,37435,33681,31192,33739,32278
519130,KY,59926,56628,58537,55320,*,*,*,*,*,*,*
