NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
425110,MA,119,115,128,147,154,184,221,270,283,253,226
443120,MA,192,200,294,300,320,368,379,401,418,445,504
454111,MA,262,231,203,168,140,136,112,0,0,0,*
51,MA,4320,4238,4215,4006,4042,4385,4614,4650,4812,4978,4891
511210,MA,631,623,666,678,701,850,919,965,970,962,980
518,MA,315,300,286,248,419,493,530,543,606,674,641
519130,MA,362,347,333,314,*,*,*,*,*,*,*
52,MA,9974,9933,10146,10088,9951,10051,9879,9541,9292,9065,8974
522320,MA,67,61,56,55,50,50,53,48,46,40,38
54151,MA,6380,6064,5903,5591,5270,5860,5706,5464,5394,5417,5169
611420,MA,84,86,87,87,82,99,101,97,99,106,109
811212,MA,174,175,184,175,176,187,174,176,170,168,187
811213,MA,24,23,25,28,31,35,33,26,30,30,33
10,MI,506087,517124,527237,524246,529374,522387,515608,509949,519239,525875,528820
11,MI,2350,2323,2317,2250,2245,2217,2209,2196,2279,2301,2277
323115,MI,49,39,33,29,31,32,29,28,26,20,20
33411,MI,45,43,36,37,39,42,43,48,54,62,65
334611,MI,3,5,6,5,7,8,10,0,0,0,*
423430,MI,292,296,310,316,338,352,384,432,471,447,415
425110,MI,170,178,186,191,213,252,291,344,384,412,454
443120,MI,364,396,431,472,539,591,593,589,684,754,812
454111,MI,320,301,274,190,155,122,98,99,0,74,*
51,MI,3417,3454,3371,3390,3582,3694,3797,3883,4089,3889,3759
511210,MI,364,374,366,358,371,373,397,438,461,376,314
518,MI,265,258,259,258,438,447,479,518,587,570,500
519130,MI,103,93,90,82,*,*,*,*,*,*,*
52,MI,12624,13131,13179,12891,13100,12759,12685,12242,12046,11912,11646
522320,MI,71,72,74,67,60,60,60,56,51,41,34
54151,MI,4285,4044,3839,3532,3576,3557,3462,3686,4020,4054,3812
611420,MI,65,69,74,82,85,89,91,94,104,105,100
811212,MI,178,174,173,170,172,166,158,150,169,163,159
811213,MI,36,39,43,44,49,49,50,54,56,57,61
10,MN,335073,339203,347128,344649,343653,336709,322846,324659,319496,319512,315144
11,MN,2207,2111,2074,1994,1941,1886,1825,1807,1783,1793,1761
323115,MN,44,38,36,30,23,18,14,0,15,12,9
33411,MN,74,84,97,86,69,64,58,67,68,69,62
334611,MN,8,9,7,11,11,13,12,16,16,0,*
423430,MN,368,386,391,368,379,384,373,370,386,406,378
425110,MN,90,86,83,82,82,83,92,116,134,155,161
443120,MN,150,144,160,177,178,178,172,201,226,276,263
454111,MN,171,147,143,120,84,69,54,44,40,0,36
51,MN,3405,3431,3416,3354,3161,3135,2971,3083,3129,3273,3116
511210,MN,263,257,256,245,219,227,223,246,262,298,309
518,MN,341,338,312,289,362,359,311,330,359,376,331
519130,MN,140,125,115,89,*,*,*,*,*,*,*
52,MN,9609,10039,10562,10932,10856,10620,10060,10158,9787,9464,9212
522320,MN,87,77,77,75,61,59,55,56,55,55,30
54151,MN,4169,4079,4040,3844,3570,3633,3543,3837,3936,4252,4120
