OCC;STATE;METROS;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
41-4011;AL;Auburn-Opelika, AL;118150;115320;106900;*;*;*;*;*;*;*;*
43-9011;AL;Auburn-Opelika, AL;*;*;29810;30420;29200;29310;*;*;*;*;*
43-9021;AL;Auburn-Opelika, AL;25220;*;*;*;19720;19760;*;*;*;*;*
45-0000;AL;Auburn-Opelika, AL;35700;34900;27820;28540;*;*;*;*;*;*;*
49-2011;AL;Auburn-Opelika, AL;29730;-1;27630;*;*;*;*;*;*;*;*
00-0000;AL;Birmingham-Hoover, AL;41220;40060;38980;37700;36320;35160;*;*;*;*;*
11-3021;AL;Birmingham-Hoover, AL;108060;101200;101780;100430;95490;85770;*;*;*;*;*
13-0000;AL;Birmingham-Hoover, AL;62090;60780;61560;62050;59890;54410;*;*;*;*;*
13-1081;AL;Birmingham-Hoover, AL;63750;69220;69160;69180;59270;63880;*;*;*;*;*
13-1111;AL;Birmingham-Hoover, AL;81470;81590;80600;91040;77960;70750;*;*;*;*;*
15-0000;AL;Birmingham-Hoover, AL;69220;66600;65080;62650;59220;56950;*;*;*;*;*
15-1021;AL;Birmingham-Hoover, AL;*;71250;72590;68940;66220;63660;*;*;*;*;*
15-1031;AL;Birmingham-Hoover, AL;*;84500;71610;66490;62560;64690;*;*;*;*;*
15-1032;AL;Birmingham-Hoover, AL;*;78020;73140;71770;70530;74840;*;*;*;*;*
15-1041;AL;Birmingham-Hoover, AL;*;46340;45360;42880;39070;37230;*;*;*;*;*
15-1051;AL;Birmingham-Hoover, AL;*;69990;67440;66380;63230;59920;*;*;*;*;*
15-1061;AL;Birmingham-Hoover, AL;*;65260;65090;63400;60900;56200;*;*;*;*;*
15-1071;AL;Birmingham-Hoover, AL;*;68140;67120;64780;59870;55610;*;*;*;*;*
15-1081;AL;Birmingham-Hoover, AL;*;63040;64750;62910;57490;54140;*;*;*;*;*
15-1099;AL;Birmingham-Hoover, AL;*;68820;65960;63960;64610;54150;*;*;*;*;*
15-1121;AL;Birmingham-Hoover, AL;74100;*;*;*;*;*;*;*;*;*;*
15-1131;AL;Birmingham-Hoover, AL;73020;*;*;*;*;*;*;*;*;*;*
15-1132;AL;Birmingham-Hoover, AL;90030;*;*;*;*;*;*;*;*;*;*
15-1133;AL;Birmingham-Hoover, AL;82640;*;*;*;*;*;*;*;*;*;*
15-1141;AL;Birmingham-Hoover, AL;68790;*;*;*;*;*;*;*;*;*;*
15-1142;AL;Birmingham-Hoover, AL;69770;*;*;*;*;*;*;*;*;*;*
15-1150;AL;Birmingham-Hoover, AL;49090;*;*;*;*;*;*;*;*;*;*
15-1179;AL;Birmingham-Hoover, AL;68490;*;*;*;*;*;*;*;*;*;*
15-1799;AL;Birmingham-Hoover, AL;73150;*;*;*;*;*;*;*;*;*;*
15-2031;AL;Birmingham-Hoover, AL;63100;61920;55070;72070;65020;53090;*;*;*;*;*
17-0000;AL;Birmingham-Hoover, AL;65880;64710;63420;59360;58710;59970;*;*;*;*;*
17-2061;AL;Birmingham-Hoover, AL;80240;75470;95360;56210;*;79330;*;*;*;*;*
17-2112;AL;Birmingham-Hoover, AL;71830;66530;70980;69750;69180;63870;*;*;*;*;*
17-3026;AL;Birmingham-Hoover, AL;43360;46820;44480;51330;50480;45310;*;*;*;*;*
19-0000;AL;Birmingham-Hoover, AL;52940;53730;53810;49410;48240;48080;*;*;*;*;*
25-1021;AL;Birmingham-Hoover, AL;70890;74270;69740;68530;62410;64070;*;*;*;*;*
27-0000;AL;Birmingham-Hoover, AL;39910;40310;39330;38710;33010;34310;*;*;*;*;*
27-1014;AL;Birmingham-Hoover, AL;47280;42180;49770;47590;62270;50560;*;*;*;*;*
27-1024;AL;Birmingham-Hoover, AL;51320;49620;46610;44240;40840;43810;*;*;*;*;*
