NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
443120,LA,1063,1020,2588,2417,2510,2186,2172,2261,2293,1878,1721
454111,LA,460,400,418,377,287,217,115,72,63,0,46
51,LA,27580,27721,31460,30610,29875,32100,32744,32039,31927,33122,32635
511210,LA,320,345,406,347,263,291,359,308,351,423,486
518,LA,1348,1311,1268,1359,1749,2410,2398,2468,2701,3037,2860
519130,LA,246,182,167,144,*,*,*,*,*,*,*
52,LA,57646,57006,58375,58636,59145,60783,63520,63949,62611,61256,61455
522320,LA,384,381,326,323,307,336,341,286,255,254,223
54151,LA,7153,8342,8197,8190,8130,7367,5652,5288,4980,4873,4704
611420,LA,185,185,170,128,137,159,197,188,201,221,234
811212,LA,791,694,705,686,689,547,474,385,399,380,357
811213,LA,275,241,233,224,213,220,226,317,315,333,355
10,ME,1254520,1262883,1304079,1304278,1296632,1287870,1294191,1281788,1280431,1283069,1275343
11,ME,5856,0,0,5830,5717,5591,5659,5686,5578,5824,6205
323115,ME,0,0,0,16,17,16,30,0,0,37,*
33411,ME,*,*,*,0,0,0,0,0,0,0,*
334611,ME,*,0,0,0,0,0,*,0,0,0,*
423430,ME,326,359,370,403,371,329,328,394,418,474,445
425110,ME,99,101,99,125,142,177,160,157,144,154,155
443120,ME,342,313,384,325,344,343,322,364,453,536,561
454111,ME,216,191,0,123,99,0,0,26,26,26,*
51,ME,9643,9710,11268,11814,11756,11753,11481,11752,12003,12574,12552
511210,ME,167,167,192,272,321,326,324,299,250,216,205
518,ME,1016,954,1013,1079,1178,1103,1056,1174,1309,1362,1281
519130,ME,74,62,60,73,*,*,*,*,*,*,*
52,ME,23735,24143,24622,24966,25392,25901,26577,26987,27209,27196,26021
522320,ME,364,361,291,270,256,229,206,203,311,333,273
54151,ME,3210,3285,3243,3145,3113,3041,2846,2629,2881,3667,3554
611420,ME,0,0,0,0,19,30,36,0,0,37,*
811212,ME,160,89,101,111,109,146,144,140,103,63,64
811213,ME,53,55,48,88,85,75,81,76,61,53,*
10,MD,5391029,5399819,5546042,5556513,5515534,5443662,5363802,5318895,5304495,5285640,5234321
11,MD,5022,4928,4905,4893,5032,5157,5152,5011,4810,4725,4650
323115,MD,334,393,391,347,238,209,0,0,164,165,*
33411,MD,0,0,1126,0,0,0,0,0,0,0,*
334611,MD,1221,1395,1614,1803,1774,2109,2232,2277,2472,2662,2726
423430,MD,5554,5625,5825,5863,5887,5907,6093,6243,6722,7033,7518
425110,MD,905,1189,1201,1237,1288,1295,1271,1289,1283,1346,1375
443120,MD,2040,2069,3164,0,0,3334,3401,3562,3580,4528,5237
454111,MD,813,755,717,624,601,541,395,257,163,131,139
51,MD,47686,50203,53816,54553,54617,54145,53787,53990,57003,62172,61837
511210,MD,2452,2310,2013,1792,1665,1653,1610,1929,2007,2172,2118
518,MD,5453,5487,5670,5193,6889,7106,7810,6769,7489,7108,7317
519130,MD,701,753,801,729,*,*,*,*,*,*,*
52,MD,95880,98996,103236,107414,109769,110127,109439,109607,105588,102791,100641
522320,MD,3360,3329,3957,3205,3199,3316,3039,2859,2796,3048,2920
54151,MD,62405,60607,60368,57434,56213,54041,51870,50182,49002,49394,51365
611420,MD,582,554,522,0,0,663,700,701,708,924,1119
811212,MD,466,524,599,602,625,696,739,657,622,574,585
811213,MD,296,213,209,218,222,269,279,281,310,319,375
10,MA,6714147,6685735,6906426,6878237,6795273,6721515,6676353,6684055,6816748,6966850,6941790
11,MA,6733,6487,6497,6533,6642,6882,6841,6759,6575,6408,6077
323115,MA,684,675,752,687,670,590,584,631,762,909,995
33411,MA,12222,12947,13990,13985,14581,16216,15983,16341,18213,21632,21207
334611,MA,49,0,0,0,0,0,0,837,1063,1134,955
423430,MA,5460,6541,7525,8280,8867,9070,9677,10364,11180,11975,12940
425110,MA,723,725,923,995,1418,1105,1492,1652,1893,2045,2117
